"sampleID","StromalScore","ImmuneScore","ESTIMATEScore","TumorPurity","Cluster_Hier_k5"
"TCGA-C8-A1HL-01",486.257420260921,54.3242288482952,540.581649109217,0.77483750641807,4
"TCGA-EW-A2FS-01",229.581480438461,289.937220712384,519.518701150845,0.776788311324336,5
"TCGA-D8-A1JU-01",804.484635345703,310.34978482889,1114.83442017459,0.718862336559896,2
"TCGA-B6-A0RL-01",-290.421233423225,-267.256980382043,-557.678213805268,0.866261440457203,5
"TCGA-E9-A3HO-01",152.980752624951,393.31062193426,546.291374559212,0.774307407094667,5
"TCGA-BH-A0B0-01",573.375530708301,491.277504984984,1064.65303569329,0.723963312492945,2
"TCGA-D8-A1XJ-01",394.451382917678,-119.894524213038,274.55685870464,0.79892600899861,3
"TCGA-E9-A1R4-01",400.098507898231,665.220755546085,1065.31926344432,0.723895846618491,2
"TCGA-BH-A0BZ-01",634.479693395921,767.805337699644,1402.28503109557,0.688899662706446,3
"TCGA-C8-A3M8-01",342.833253187087,-234.407293581397,108.42595960569,0.813353522924527,4
"TCGA-E9-A24A-01",604.173784002351,374.54888673507,978.72267073742,0.73260682370401,2
"TCGA-D8-A1JB-01",459.783399807931,829.140735203164,1288.92413501109,0.70086539547376,2
"TCGA-E9-A1N4-01",589.384900042821,597.58122754396,1186.96612758678,0.711461837112974,2
"TCGA-C8-A12X-01",311.624747985918,120.16112567302,431.785873658938,0.784833848054001,3
"TCGA-A7-A13D-01",127.647003054806,-421.290994047715,-293.643990992909,0.846253028876895,1
"TCGA-A8-A07W-01",416.379511385774,240.253933267134,656.633444652908,0.763956714094731,3
"TCGA-AN-A0FN-01",821.922622116647,763.930376904991,1585.85299902164,0.669120213261206,2
"TCGA-E2-A1L6-01",398.81262063581,86.3423712919209,485.154991927731,0.779955056220715,2
"TCGA-GM-A2DA-01",510.761428030466,507.607555691028,1018.36898372149,0.728633304525313,5
"TCGA-A7-A0CH-01",418.087408146967,-64.5214093233106,353.565998823656,0.791897284303147,5
"TCGA-E9-A2JS-01",350.815840087624,-45.7376022452227,305.078237842401,0.796223485701584,4
"TCGA-E2-A15P-01",443.174156046173,-71.4158120141993,371.758344031974,0.790263755969396,2
"TCGA-B6-A0WV-01",134.363388923538,-418.81258311335,-284.449194189812,0.84553316909949,4
"TCGA-A8-A07S-01",404.293003145169,32.9265639447279,437.219567089897,0.784339318799408,5
"TCGA-GM-A2DD-01",530.819239611259,824.970609254184,1355.78984886544,0.693830693188154,3
"TCGA-D8-A141-01",732.74585801164,845.15073085702,1577.89658886866,0.669987692968478,2
"TCGA-AO-A128-01",345.013950101245,1021.93620760595,1366.9501577072,0.692650029568832,1
"TCGA-EW-A2FV-01",402.973351628899,480.160418777284,883.133770406183,0.742084856038716,2
"TCGA-B6-A0I9-01",243.46591068639,258.336522525672,501.802433212062,0.778423405232628,5
"TCGA-E2-A1L9-01",661.985674300499,263.213860327469,925.199534627968,0.737931752837197,2
"TCGA-AR-A1AP-01",446.300550924105,291.772300091149,738.072851015253,0.756188551169052,2
"TCGA-BH-A0H5-01",433.200466714912,993.007914262856,1426.20838097777,0.686349962489716,2
"TCGA-BH-A0E6-01",133.312505938969,284.391360471841,417.70386641081,0.78611314990482,1
"TCGA-D8-A1JA-01",470.323246235364,105.711299431422,576.034545666786,0.771537219312966,3
"TCGA-BH-A0BW-01",245.663497274566,765.248768179573,1010.91226545414,0.729382536263429,1
"TCGA-AO-A0JG-01",505.774513713878,700.587456501212,1206.36197021509,0.709458239453766,2
"TCGA-B6-A0WZ-01",256.050978314322,-265.686522860185,-9.6355445458629,0.823312988041904,5
"TCGA-C8-A135-01",442.309371165252,308.155469273435,750.464840438688,0.75499703107157,3
"TCGA-BH-A0E2-01",449.315053433176,72.4400941139981,521.755147547174,0.776581528504731,4
"TCGA-BH-A0BJ-01",528.358647184251,283.971561361111,812.330208545362,0.749011236571703,2
"TCGA-BH-A203-01",394.005562621971,527.974578843837,921.980141465807,0.738250595978464,3
"TCGA-BH-A0C7-01",355.422238954978,203.933393838097,559.355632793076,0.773092456702179,2
"TCGA-AR-A1AR-01",560.086915303805,768.038744610964,1328.12565991477,0.696749288642888,1
"TCGA-D8-A13Z-01",389.814954381848,455.696992821395,845.511947203243,0.745775250652106,1
"TCGA-A2-A0CU-01",318.313103084497,-150.518888703774,167.794214380723,0.808252828829685,4
"TCGA-BH-A0AZ-01",694.056833560459,61.1114876037278,755.168321164187,0.75454412564796,2
"TCGA-B6-A0IB-01",64.6181761375649,-362.44035064812,-297.822174510555,0.846579629138219,5
"TCGA-A2-A1G1-01",519.53700368213,623.883109874389,1143.42011355652,0.715939123468767,1
"TCGA-B6-A0RS-01",383.917420377801,473.988900105606,857.906320483406,0.744561970252506,3
"TCGA-AR-A24H-01",327.890941517723,535.636843840722,863.527785358445,0.744010874613808,2
"TCGA-A8-A099-01",450.13852943528,222.262949669701,672.401479104982,0.762461155825102,2
"TCGA-AC-A23H-01",364.942691752336,-46.0583892727456,318.88430247959,0.794995771274215,3
"TCGA-A8-A09R-01",485.864482862769,365.546819253254,851.411302116024,0.745198072693528,3
"TCGA-BH-A0HU-01",226.924071616062,61.1015686851442,288.025640301206,0.797735385963295,5
"TCGA-D8-A1XC-01",102.084150112889,-101.542086335648,0.5420637772405,0.822464119285186,5
"TCGA-EW-A1P0-01",469.504515486699,363.031414103865,832.535929590564,0.747042822897134,2
"TCGA-E2-A15M-01",673.640008965797,754.395381221216,1428.03539018701,0.686154895425134,2
"TCGA-E2-A1II-01",289.304921093635,967.615830809494,1256.92075190313,0.704208506853471,1
"TCGA-A8-A09B-01",440.83973803018,-39.1230099258791,401.716728104301,0.787561454778804,2
"TCGA-A2-A0EV-01",567.034478176502,492.13389991641,1059.16837809291,0.724518455808357,2
"TCGA-A2-A25B-01",532.813523706233,393.346651936884,926.160175643117,0.737836580682638,3
"TCGA-AO-A03R-01",192.285204238905,476.914757768182,669.199962007087,0.762765142378952,5
"TCGA-A2-A0ER-01",270.647912205503,179.484855587443,450.132767792946,0.783162066080186,4
"TCGA-BH-A0B8-01",324.734605378412,-74.5037429646753,250.230862413737,0.801068479354791,4
"TCGA-BH-A0BA-01",356.419533485119,254.698149968468,611.117683453587,0.768250783235742,2
"TCGA-A8-A08J-01",456.980973662271,75.0147873728154,531.995761035087,0.775633608204891,3
"TCGA-A8-A0A9-01",502.908176538912,251.145788135198,754.053964674111,0.754651461276096,2
"TCGA-BH-A0BM-01",436.237767287513,-114.735474332028,321.502292955485,0.794762596126256,2
"TCGA-A2-A04T-01",145.676169823452,519.220826646398,664.89699646985,0.763173446953497,1
"TCGA-E2-A14R-01",146.131712618173,612.698313587558,758.830026205732,0.754191285404262,1
"TCGA-AN-A0XW-01",695.085946191003,713.609662561276,1408.69560875228,0.688217268769938,2
"TCGA-A8-A07J-01",734.071330365228,494.857352433445,1228.92868279867,0.707119853020207,2
"TCGA-A2-A0SX-01",448.866560703208,763.158861538948,1212.02542224216,0.70887211730638,1
"TCGA-A7-A26G-01",659.073574573362,538.088326925511,1197.16190149887,0.710409327877502,1
"TCGA-BH-A2L8-01",567.043656423205,831.172025264957,1398.21568168816,0.689332520822818,2
"TCGA-BH-A0BS-01",221.532642771753,-106.355976324313,115.176666447439,0.812776633230534,5
"TCGA-EW-A1P7-01",531.695140498993,903.169709291539,1434.86484979053,0.685425287240481,1
"TCGA-AN-A0AJ-01",430.130366142438,686.499505548192,1116.62987169063,0.718679103153952,3
"TCGA-B6-A0IC-01",-71.3922550860013,-31.1085575079967,-102.500812593998,0.830973351904031,5
"TCGA-BH-A0DO-01",299.167456436591,-166.939373526586,132.228082910005,0.811315931547525,2
"TCGA-E2-A14N-01",106.304962754796,484.848980505033,591.153943259829,0.770123403597884,1
"TCGA-GM-A2DF-01",337.470478091794,553.924782994996,891.395261086789,0.74127143658407,1
"TCGA-BH-A0BG-01",289.283599810701,759.609251078664,1048.89285088937,0.725557254610868,1
"TCGA-A8-A06Z-01",195.670373291864,4.13402973871749,199.804403030582,0.805477140529198,5
"TCGA-AR-A24W-01",462.416665725358,-282.180317391085,180.236348334273,0.80717605508749,2
"TCGA-AN-A0AT-01",126.970719357404,341.552001267145,468.522720624549,0.781480660412898,1
"TCGA-BH-A201-01",469.302122416035,-314.898753809036,154.403368606999,0.809408694195446,2
"TCGA-GM-A2DL-01",625.262193814667,158.685430608081,783.947624422748,0.751765096909649,3
"TCGA-D8-A1XS-01",588.909459597078,283.554672337371,872.464131934449,0.74313376468279,2
"TCGA-A1-A0SB-01",112.862392145419,-631.375838541249,-518.51344639583,0.863375026076573,1
"TCGA-EW-A1P5-01",355.022978283634,408.678494789273,763.701473072906,0.753721537246639,5
