sampleID,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Final_Label
TCGA-C8-A1HL-01,-0.2795529,0.10996108,1.0140951,0.32576928,0.93253565,1.1943938,-0.3646165,-1.4255477,0.23517033,-0.7640437,LumB
TCGA-EW-A2FS-01,1.051643,-0.21578297,1.5533395,1.3456866,-0.5920374,0.7906295,1.9765294,-0.2189286,0.652581,-1.6134171,LumA
TCGA-D8-A1JU-01,0.6907564,0.19117613,-1.2664526,-0.95169723,-4.148662,-0.13996364,-0.535202,-0.29813024,-1.2525786,-0.8160898,LumA
TCGA-B6-A0RL-01,0.91006947,-1.1430244,0.5818848,-0.16604206,4.1847515,0.26420084,0.50065553,-4.2646365,0.26514366,0.33745772,LumB
TCGA-E9-A3HO-01,1.5328333,0.12600811,1.2026577,-0.017997805,0.12955698,0.94626236,1.2660954,-1.601526,0.9068227,-0.59701616,LumB
TCGA-BH-A0B0-01,0.13283339,0.98255414,0.04920342,-0.5847943,-2.433433,1.1577219,-0.5364291,-0.14951879,-0.2841171,-1.1509082,LumA
TCGA-D8-A1XJ-01,-2.4257374,1.1486967,-0.1484327,0.4867403,1.9812386,1.1191766,-2.4780915,0.6155073,-1.2470624,-0.70674413,Her2
TCGA-E9-A1R4-01,-1.2228419,-0.90964127,0.024844375,1.2884544,-0.16479535,-0.66243553,-0.45077354,0.4510499,-0.17879635,-1.975669,LumB
TCGA-BH-A0BZ-01,-0.96913326,-0.34046698,0.15558496,1.3512986,0.32689118,-0.18175668,-0.9893203,0.12664706,0.48620206,-1.629495,LumB
TCGA-C8-A3M8-01,-0.07071433,-1.1619961,0.4163098,1.3267727,0.013640225,-0.4540297,0.50763774,-1.6658888,-0.63843083,-0.4012773,LumB
TCGA-E9-A24A-01,-0.69626206,-1.3760575,-0.73804784,-2.9563692,-0.4500215,-1.2141176,-1.3975956,-1.4910518,-1.2160845,-1.2482384,LumA
TCGA-D8-A1JB-01,0.33624476,-0.9624189,0.5238063,0.952621,-1.8505304,-0.61756814,1.5881159,1.6482879,0.41722572,-1.7777796,LumA
TCGA-E9-A1N4-01,0.5602791,-0.48246926,-0.84111583,-1.1567531,-2.1694062,-0.43703684,-0.991508,-0.47092277,1.1599038,-1.1777531,LumA
TCGA-C8-A12X-01,1.396705,0.76917845,0.088023275,0.527666,3.00696,0.8410579,-1.3594112,-4.018816,2.7406716,-0.4731503,LumA
TCGA-A7-A13D-01,-1.2079128,0.055545658,0.5246959,-0.08548643,0.0643381,-0.24247429,0.18350627,1.960215,-1.943294,3.4213169,Basal
TCGA-A8-A07W-01,-1.9335538,-1.1694187,-0.4503796,2.0583642,0.5429091,-0.9856266,-1.4101775,-0.9221851,-0.44754535,-1.7794714,LumB
