"Cluster_Hier_k5","Mean_ImmuneScore","Mean_CD8","Mean_TumorPurity","Mean_Uncharacterized","n","Z_ImmuneScore","Z_CD8","Z_TumorPurity","Z_Uncharacterized"
"1",362.22074846056,0.0711823696918914,0.762406383491221,0.00224088749180962,136,0.820685716391854,1.41375439131347,-0.260507268573027,-0.49535764977977
"2",278.179097199077,0.0574534909563906,0.748407184727849,0.00210960462287144,330,0.303436693123911,0.297563526140345,-0.894825588347954,-0.524305669496141
"3",385.328173994804,0.0563075634192136,0.747279092271524,0.0124533248891296,138,0.962904403297901,0.204396860909348,-0.945940635969043,1.75649624038042
"4",18.0047869594492,0.0403620486561984,0.793997892132538,0.00169198071202502,104,-1.29785154706248,-1.0920118452829,1.17093698900445,-0.616392209826877
"5",100.653555184975,0.043662183636888,0.788687917773075,0.00394118242674236,127,-0.789175265751186,-0.823702933080265,0.930336503885577,-0.12044071127763
